name,form
Валерий Лимаренко,"['Лимаренко', 'Валерий Игоревич', 'Лимаренко Лимаренко']"
Владимир Путин,"['Путин', 'Путиным', 'Путина']"
Александр Захарченко,['Александр Захарченко']
Владимир Сидоренко,['Сидоренко']
Глеб Никитин,['Никитин']
Денис Мантуров,['Денис Мантурова']
Сергей Кириенко,['Кириенко']
Юрий Трутнев,"['Трутнев', 'Юрий Трутневым']"
Дмитрий Федечкин,['Федечкин']
Алексей Успенский,['Успенский']
Василий Вишневский,['Вишневский']
Владимир Жириновский,['Жириновский']
Алексей Чекунков,['Чекунков']
Дмитрий Медведев,['Медведев']
Ростислав Гольдштейн,"['Гольдштейна', 'Ростислав Гольдшейна']"
