name,form
Правительство,"['Кабмин', 'кабмин']"
Правительство Сахалинской области,['псо']
Центральный банк,['центробанк']
Минцифры,"['министерство цифрового развития, связи и массовых коммуникаций']"
Минвостокразвития,['минвостокразвитие']
Минэкономразвития,"['министерство экономического развития', 'министерство экономического развитие']"
Минтуризм,"['Министр туризм', 'министерство туризма']"
Минсельхоз,"['министерство сельского хозяйства и торговли', 'министерство сельского хозяйства и торговля']"
РАН,"['Российская академия наук', 'Академия наук']"
Госдума,"['Государственная Дума', 'государственная дума', 'гд']"
Сбербанк,"['сбер', 'дальневосточный сбер', 'сбербанк россия']"
Газпром,"['газпром', 'пао газпром', 'газпроме', 'газпрома']"
Газпромбанк,"['газпромбанк лизинг', 'газпромбанк']"
Ростелеком,['пао ростелеком']
Единая Россия,"['ЕР', 'партия единая россия', 'единороссы']"
Справедливая Россия,"['СР', 'справедливая россия – за правду', 'справедливая россия – за правда', 'Справедливая Россия — За правда', 'Справедливая Россия За Правда', 'справедливая россия']"
КПРФ,"['Коммунистическая партия России', 'Коммунистическая партия', 'партия кпрф', 'партия коммунистическая партия россии', 'партия коммунистическая партия российской федерации']"
ЛДПР,"['либерально-демократическая партия россии', 'либдем партия']"
Дети войны,['дети война']
Корпорация развития Дальнего Востока и Арктики,['корпорация развитие']
Сахалинский Государственный Университет,"['сахгу', 'сахалинский государственный']"
