name,form
Валерий Лимаренко,"['Валерий Лимаренко Игоревич', 'Лимаренко', 'Лимаренко Валерий', 'Лимаренко Валерий Игоревич']"
Владимир Путин,"['Владимир Путин', 'Путин Потанин', 'Вв Путин', 'Путины', 'Владимир Путин Би-Порт', 'Потанин-Кошелек Путин', 'Путиноидами', 'Роман Путин', 'Путине', 'Игорь Путин', 'Р Путин', 'Евгений Зиничев Путину', 'Дед Мороз Путин', 'Дерипаски-Путин', 'Владимир Путины', 'Алексей Иванов Путин', 'Владимирович Путин', 'Владимир Путина', 'Путин Путин', 'Потанин-То Путин', 'Путин-То', 'Путин Трамп', 'W Путин', 'Рфвладимир Путин', 'Володя Путин', 'Владимир Путинфото', 'Путин Капитализация', 'Роман Путинцев', 'Рф-Президент Путин', 'Президент Путин', 'Евгений Зиничев Владимир Путин', 'Путин-Младший', 'Михаил Путин', 'Светлана Радионовавладимир Путин', 'Путин Клишас', 'Путинский', 'Путинская Боярыня', 'Путин-Все', 'Путин-Марионетка', 'Павел Иванов Путин', 'Усс Докалывают Путин', 'Владимр Путин', 'Встреча Путин', 'Путинская', 'Путинист', 'Дерипаска Путин', 'Путин Отчетный', 'Владимир Машков Путин', 'Потанин Норильск Путин', 'Семья Путин', 'Россия- Ссср-Ельцинская Россия-Путинская', 'Ельцин Путин', 'Людмила Путина', 'Шаломов-Путин', 'Путиниста', 'Звонящие Путин', 'Путин-Гавноеда-Хуя-Отсосательши', 'Путинместные', 'Четверг- Путин', 'Разглагольствования Путин', 'Фашист Путин', 'Песков Путин', 'Путин Эрмак', 'Дмитрий Песковвладимир Путинэкономика', 'Путиноиды', 'Сергей Фургал Путин', 'Владимира Путин', 'Владимир Путинвладимир Путин', 'Путина- Бизнес', 'Елена Путинцева', 'Владимир Милов Путин', 'Утырки Путин', 'Пресс-Конференция Путин', 'Михаил Полторанин Путин', 'Путин Сапоги', 'Путинизм-Это', 'Кириенко Путин', 'Хвала Путин', 'Путин Трамп Байден', 'Елена Виноградовасвободу Фургалу Путин', 'Путин-2020', 'Госзаказыгосподрядывладимир Путинмиллиардеры', 'Путинужес', 'Огорчим Путин', 'Путин-Шойгу', 'Вова Путин', 'Меркель Путин']"
Александр Захарченко,['Александр Захарченко']
Владимир Сидоренко,['Сидоренко']
Глеб Никитин,"['Глеб Никитин Сергеевич', 'Глеб Никитина', 'Глеб Никитине', 'Глеб Никитину', 'Глеб Никитиным', 'Никитин', 'Никитин Глеб', 'Никитин Глеб Сергеевич', 'Никитина', 'Никитина Глеб', 'Никитине', 'Никитине Глеб', 'Никитину', 'Никитину Глеб', 'Никитиным', 'Никитиным Глеб']"
Денис Мантуров,['Денис Мантурова']
Сергей Кириенко,['Кириенко']
Юрий Трутнев,"['Трутнев', 'Юрий Трутневым']"
Дмитрий Федечкин,['Федечкин']
Алексей Успенский,['Успенский']
Василий Вишневский,['Вишневский']
Владимир Жириновский,['Жириновский']
Алексей Чекунков,['Чекунков']
Дмитрий Медведев,['Медведев']
Ростислав Гольдштейн,"['Гольдштейн', 'Гольдштейн Ростислав', 'Гольдштейн Ростислав Эрнстович', 'Гольдштейна', 'Гольдштейна Ростислав', 'Гольдштейне', 'Гольдштейне Ростислав', 'Гольдштейну', 'Гольдштейну Ростислав', 'Гольдштейным', 'Гольдштейным Ростислав', 'Ростислав Гольдштейн Эрнстович', 'Ростислав Гольдштейна', 'Ростислав Гольдштейне', 'Ростислав Гольдштейну', 'Ростислав Гольдштейным']"
Мурат Кумпилов,"['Кумпилов', 'Кумпилов Мурат', 'Кумпилов Мурат Каральбиевич', 'Кумпилова', 'Кумпилова Мурат', 'Кумпилове', 'Кумпилове Мурат', 'Кумпилову', 'Кумпилову Мурат', 'Кумпиловым', 'Кумпиловым Мурат', 'Мурат Кумпилов Каральбиевич', 'Мурат Кумпилова', 'Мурат Кумпилове', 'Мурат Кумпилову', 'Мурат Кумпиловым']"
Олег Хорохордин,"['Олег Хорохордин Леонидович', 'Олег Хорохордина', 'Олег Хорохордине', 'Олег Хорохордину', 'Олег Хорохординым', 'Хорохордин', 'Хорохордин Олег', 'Хорохордин Олег Леонидович', 'Хорохордина', 'Хорохордина Олег', 'Хорохордине', 'Хорохордине Олег', 'Хорохордину', 'Хорохордину Олег', 'Хорохординым', 'Хорохординым Олег']"
Радий Хабиров,"['Радий Хабиров Фаритович', 'Радий Хабирова', 'Радий Хабирове', 'Радий Хабирову', 'Радий Хабировым', 'Хабиров', 'Хабиров Радий', 'Хабиров Радий Фаритович', 'Хабирова', 'Хабирова Радий', 'Хабирове', 'Хабирове Радий', 'Хабирову', 'Хабирову Радий', 'Хабировым', 'Хабировым Радий']"
Алексей Цыденов,"['Алексей Цыденов Самбуевич', 'Алексей Цыденова', 'Алексей Цыденове', 'Алексей Цыденову', 'Алексей Цыденовым', 'Цыденов', 'Цыденов Алексей', 'Цыденов Алексей Самбуевич', 'Цыденова', 'Цыденова Алексей', 'Цыденове', 'Цыденове Алексей', 'Цыденову', 'Цыденову Алексей', 'Цыденовым', 'Цыденовым Алексей']"
Сергей Меликов,"['Меликов', 'Меликов Сергей', 'Меликов Сергей Алимович', 'Меликова', 'Меликова Сергей', 'Меликове', 'Меликове Сергей', 'Меликову', 'Меликову Сергей', 'Меликовым', 'Меликовым Сергей', 'Сергей Меликов Алимович', 'Сергей Меликова', 'Сергей Меликове', 'Сергей Меликову', 'Сергей Меликовым']"
Махмуд-Али Калиматов,"['Калиматов', 'Калиматов Махмуд-Али', 'Калиматов Махмуд-Али Макшарипович', 'Калиматова', 'Калиматова Махмуд-Али', 'Калиматове', 'Калиматове Махмуд-Али', 'Калиматову', 'Калиматову Махмуд-Али', 'Калиматовым', 'Калиматовым Махмуд-Али', 'Махмуд-Али Калиматов Макшарипович', 'Махмуд-Али Калиматова', 'Махмуд-Али Калиматове', 'Махмуд-Али Калиматову', 'Махмуд-Али Калиматовым']"
Бату Хасиков,"['Бату Хасиков Сергеевич', 'Бату Хасикова', 'Бату Хасикове', 'Бату Хасикову', 'Бату Хасиковым', 'Хасиков', 'Хасиков Бату', 'Хасиков Бату Сергеевич', 'Хасикова', 'Хасикова Бату', 'Хасикове', 'Хасикове Бату', 'Хасикову', 'Хасикову Бату', 'Хасиковым', 'Хасиковым Бату']"
Рашид Темрезов,"['Рашид Темрезов Бориспиевич', 'Рашид Темрезова', 'Рашид Темрезове', 'Рашид Темрезову', 'Рашид Темрезовым', 'Темрезов', 'Темрезов Рашид', 'Темрезов Рашид Бориспиевич', 'Темрезова', 'Темрезова Рашид', 'Темрезове', 'Темрезове Рашид', 'Темрезову', 'Темрезову Рашид', 'Темрезовым', 'Темрезовым Рашид']"
Артур Парфенчиков,"['Артур Парфенчиков Олегович', 'Артур Парфенчикова', 'Артур Парфенчикове', 'Артур Парфенчикову', 'Артур Парфенчиковым', 'Парфенчиков', 'Парфенчиков Артур', 'Парфенчиков Артур Олегович', 'Парфенчикова', 'Парфенчикова Артур', 'Парфенчикове', 'Парфенчикове Артур', 'Парфенчикову', 'Парфенчикову Артур', 'Парфенчиковым', 'Парфенчиковым Артур']"
Владимир Уйба,"['Владимир Уйба Викторович', 'Уйба', 'Уйба Владимир', 'Уйба Владимир Викторович']"
Сергей Аксёнов,"['Аксёнов', 'Аксёнов Сергей', 'Аксёнов Сергей Валерьевич', 'Аксёнова', 'Аксёнова Сергей', 'Аксёнове', 'Аксёнове Сергей', 'Аксёнову', 'Аксёнову Сергей', 'Аксёновым', 'Аксёновым Сергей', 'Сергей Аксёнов Валерьевич', 'Сергей Аксёнова', 'Сергей Аксёнове', 'Сергей Аксёнову', 'Сергей Аксёновым']"
Юрий Зайцев,"['Зайцев', 'Зайцев Юрий', 'Зайцев Юрий Викторович', 'Зайцева', 'Зайцева Юрий', 'Зайцеве', 'Зайцеве Юрий', 'Зайцеву', 'Зайцеву Юрий', 'Зайцевым', 'Зайцевым Юрий', 'Юрий Зайцев Викторович', 'Юрий Зайцева', 'Юрий Зайцеве', 'Юрий Зайцеву', 'Юрий Зайцевым']"
Артём Здунов,"['Артём Здунов Алексеевич', 'Артём Здунова', 'Артём Здунове', 'Артём Здунову', 'Артём Здуновым', 'Здунов', 'Здунов Артём', 'Здунов Артём Алексеевич', 'Здунова', 'Здунова Артём', 'Здунове', 'Здунове Артём', 'Здунову', 'Здунову Артём', 'Здуновым', 'Здуновым Артём']"
Айсен Николаев,"['Айсен Николаев Сергеевич', 'Айсен Николаева', 'Айсен Николаеве', 'Айсен Николаеву', 'Айсен Николаевым', 'Николаев', 'Николаев Айсен', 'Николаев Айсен Сергеевич', 'Николаева', 'Николаева Айсен', 'Николаеве', 'Николаеве Айсен', 'Николаеву', 'Николаеву Айсен', 'Николаевым', 'Николаевым Айсен']"
Сергей Меняйло,"['Меняйло', 'Меняйло Сергей', 'Меняйло Сергей Иванович', 'Сергей Меняйло Иванович']"
Рустам Минниханов,"['Минниханов', 'Минниханов Рустам', 'Минниханов Рустам Нургалиевич', 'Минниханова', 'Минниханова Рустам', 'Минниханове', 'Минниханове Рустам', 'Минниханову', 'Минниханову Рустам', 'Миннихановым', 'Миннихановым Рустам', 'Рустам Минниханов Нургалиевич', 'Рустам Минниханова', 'Рустам Минниханове', 'Рустам Минниханову', 'Рустам Миннихановым']"
Владислав Ховалыг,"['Владислав Ховалыг Товарищтайович', 'Владислав Ховалыга', 'Владислав Ховалыге', 'Владислав Ховалыгу', 'Владислав Ховалыгым', 'Ховалыг', 'Ховалыг Владислав', 'Ховалыг Владислав Товарищтайович', 'Ховалыга', 'Ховалыга Владислав', 'Ховалыге', 'Ховалыге Владислав', 'Ховалыгу', 'Ховалыгу Владислав', 'Ховалыгым', 'Ховалыгым Владислав']"
Александр Бречалов,"['Александр Бречалов Владимирович', 'Александр Бречалова', 'Александр Бречалове', 'Александр Бречалову', 'Александр Бречаловым', 'Бречалов', 'Бречалов Александр', 'Бречалов Александр Владимирович', 'Бречалова', 'Бречалова Александр', 'Бречалове', 'Бречалове Александр', 'Бречалову', 'Бречалову Александр', 'Бречаловым', 'Бречаловым Александр']"
Валентин Коновалов,"['Валентин Коновалов Олегович', 'Валентин Коновалова', 'Валентин Коновалове', 'Валентин Коновалову', 'Валентин Коноваловым', 'Коновалов', 'Коновалов Валентин', 'Коновалов Валентин Олегович', 'Коновалова', 'Коновалова Валентин', 'Коновалове', 'Коновалове Валентин', 'Коновалову', 'Коновалову Валентин', 'Коноваловым', 'Коноваловым Валентин']"
Рамзан Кадыров,"['Кадыров', 'Кадыров Рамзан', 'Кадыров Рамзан Ахматович', 'Кадырова', 'Кадырова Рамзан', 'Кадырове', 'Кадырове Рамзан', 'Кадырову', 'Кадырову Рамзан', 'Кадыровым', 'Кадыровым Рамзан', 'Рамзан Кадыров Ахматович', 'Рамзан Кадырова', 'Рамзан Кадырове', 'Рамзан Кадырову', 'Рамзан Кадыровым']"
