,0
0,Адыгея
1,Алтай
2,Алтайский край
3,Амурская область
4,Архангельская область
5,Астраханская область
6,Башкортостан
7,Белгородская область
8,Брянская область
9,Бурятия
10,Владимирская область
11,Волгоградская область
12,Вологодская область
13,Воронежская область
14,Дагестан
15,Еврейская АО
16,Забайкальский край
17,Ивановская область
18,Ингушетия
19,Иркутская область
20,Кабардино-Балкария
21,Калининградская область
22,Калмыкия
23,Калужская область
24,Камчатский край
25,Карачаево-Черкесия
26,Карелия
27,Кемеровская область
28,Кировская область
29,Коми
30,Костромская область
31,Краснодарский край
32,Красноярский край
33,Крым
34,Курганская область
35,Курская область
36,Ленинградская область
37,Липецкая область
38,Магаданская область
39,Марий Эл
40,Мордовия
41,Москва
42,Московская область
43,Мурманская область
44,Ненецкий АО
45,Нижегородская область
46,Новгородская область
47,Новосибирская область
48,Омская область
49,Оренбургская область
50,Орловская область
51,Пензенская область
52,Пермский край
53,Приморский край
54,Псковская область
55,Ростовская область
56,Рязанская область
57,Самарская область
58,Санкт-Петербург
59,Саратовская область
60,Сахалинская область
61,Свердловская область
62,Севастополь
63,Северная Осетия
64,Смоленская область
65,Ставропольский край
66,Тамбовская область
67,Татарстан
68,Тверская область
69,Томская область
70,Тульская область
71,Тыва
72,Тюменская область
73,Удмуртия
74,Ульяновская область
75,Хабаровский край
76,Хакасия
77,Ханты-Мансийский АО
78,Челябинская область
79,Чечня
80,Чувашия
81,Чукотский АО
82,Якутия
83,Ямало-Ненецкий АО
84,Ярославская область
