,0
0,ваш email
1,свидетельство о регистрации
2,учредитель: ООО
3,главный редактор
4,мнение редакции
5,информационное агентство faktologia
6,ваш адрес email
7,имя (не обязательно)
8,email (не обязательно)
9,"сохранить моё имя, email и адрес сайта в этом браузере для последующих моих комментариев."
10,"пожалуйста, введите ответ цифрами:"
11,нашли ошибку в тексте? выделите текст и нажмите ctrl+enter
12,муравленко 24
13,подробности по телефонам:
14,налоговая инспекция сообщает о четвертом этапе
15,подписывайтесь на
16,все права защищены
17,сайт изготовлен
18,оставьте комментарий
19,фото из архива
20,комментарий
21,имя
22,фамилия
23,адрес редакции
24,окружная интернет-газета
25,гиперссылка обязательна
26,ссылка на сайт обязательна
27,you can see how this popup was set up in our step-by-step guide
28,https
29,смотрите полный выпуск
30,электронная почта
31,автор: 
32,я.новости
33,пользовательское соглашение
34,спецпроекты
35,самое интересное
36,regnum
37,регистрации сми
38,читайте развитие сюжета
39,федеральной службой по надзору в сфере связи
40,javascript
41,смотрите также
42,гипперсылка на
43,адрес электронной почты редакции
44,все права на
45,смотрите на
46,подписаться
47,гиперссылка
48,для читателей
49,учредитель сми
50,редакция сми
51,сетевое издание
52,рекламодатель
